Access Date;Access Time;Modify Date;Modify Time;Create Date;Create Time;Permissions;User ID;Group ID;File Size;Filename
18/01/22;00:49:26.1476171080;25/01/22;11:43:55.8642407340;25/01/22;11:43:55.8642407340;755;1000;1002;888;./
18/01/22;00:49:26.1476171080;18/01/22;00:49:26.1476171080;18/01/22;00:49:26.1476171080;644;1000;1002;1639;./index.html
18/01/22;00:49:27.6916170690;18/01/22;00:49:56.7236163290;18/01/22;00:49:56.7236163290;755;1000;1002;164;./.git
18/01/22;00:49:27.0000000000;17/01/22;16:42:11.0000000000;18/01/22;00:49:27.6916170690;644;1000;1002;752;./.git/index.html
18/01/22;00:49:46.1996165970;18/01/22;00:49:46.1996165970;18/01/22;00:49:46.1996165970;755;1000;1002;20;./.git/branches
18/01/22;00:49:46.0000000000;17/01/22;16:42:13.0000000000;18/01/22;00:49:46.2036165970;644;1000;1002;339;./.git/branches/index.html
18/01/22;00:49:47.0000000000;17/01/22;16:42:13.0000000000;18/01/22;00:49:47.3156165690;644;1000;1002;8;./.git/COMMIT_EDITMSG
18/01/22;00:49:48.0000000000;17/01/22;16:42:13.0000000000;18/01/22;00:49:48.7116165330;644;1000;1002;92;./.git/config
18/01/22;00:49:49.0000000000;17/01/22;16:42:13.0000000000;18/01/22;00:49:49.7636165070;644;1000;1002;73;./.git/description
18/01/22;00:49:50.0000000000;17/01/22;16:42:13.0000000000;18/01/22;00:49:50.8516164790;644;1000;1002;23;./.git/HEAD
18/01/22;00:49:50.9436164770;18/01/22;00:50:43.5316151370;18/01/22;00:50:43.5316151370;755;1000;1002;480;./.git/hooks
18/01/22;00:49:50.0000000000;17/01/22;16:42:13.0000000000;18/01/22;00:49:50.9476164760;644;1000;1002;1093;./.git/hooks/index.html
18/01/22;00:50:34.0000000000;17/01/22;16:42:17.0000000000;18/01/22;00:50:34.7796153600;644;1000;1002;478;./.git/hooks/applypatch-msg.sample
18/01/22;00:50:34.0000000000;17/01/22;16:42:17.0000000000;18/01/22;00:50:34.8116153590;644;1000;1002;896;./.git/hooks/commit-msg.sample
18/01/22;00:50:34.0000000000;17/01/22;16:42:17.0000000000;18/01/22;00:50:34.8276153590;644;1000;1002;3079;./.git/hooks/fsmonitor-watchman.sample
18/01/22;00:50:35.0000000000;17/01/22;16:42:17.0000000000;18/01/22;00:50:35.9196153310;644;1000;1002;189;./.git/hooks/post-update.sample
18/01/22;00:50:36.0000000000;17/01/22;16:42:17.0000000000;18/01/22;00:50:36.9476153050;644;1000;1002;424;./.git/hooks/pre-applypatch.sample
18/01/22;00:50:37.0000000000;17/01/22;16:42:18.0000000000;18/01/22;00:50:37.1396153000;644;1000;1002;1638;./.git/hooks/pre-commit.sample
18/01/22;00:50:38.0000000000;17/01/22;16:42:18.0000000000;18/01/22;00:50:38.2636152710;644;1000;1002;416;./.git/hooks/pre-merge-commit.sample
18/01/22;00:50:39.0000000000;17/01/22;16:42:18.0000000000;18/01/22;00:50:39.3796152430;644;1000;1002;1348;./.git/hooks/pre-push.sample
18/01/22;00:50:40.0000000000;17/01/22;16:42:18.0000000000;18/01/22;00:50:40.3956152170;644;1000;1002;4898;./.git/hooks/pre-rebase.sample
18/01/22;00:50:41.0000000000;17/01/22;16:42:18.0000000000;18/01/22;00:50:41.4196151910;644;1000;1002;544;./.git/hooks/pre-receive.sample
18/01/22;00:50:42.0000000000;17/01/22;16:42:18.0000000000;18/01/22;00:50:42.5156151630;644;1000;1002;1492;./.git/hooks/prepare-commit-msg.sample
18/01/22;00:50:43.0000000000;17/01/22;16:42:18.0000000000;18/01/22;00:50:43.5396151370;644;1000;1002;3610;./.git/hooks/update.sample
18/01/22;00:49:52.0000000000;17/01/22;16:42:14.0000000000;18/01/22;00:49:52.2116164440;644;1000;1002;12796;./.git/index
18/01/22;00:49:53.3276164160;18/01/22;00:50:44.5676151110;18/01/22;00:50:44.5676151110;755;1000;1002;34;./.git/info
18/01/22;00:49:53.0000000000;17/01/22;16:42:14.0000000000;18/01/22;00:49:53.3276164160;644;1000;1002;370;./.git/info/index.html
18/01/22;00:50:44.0000000000;17/01/22;16:42:18.0000000000;18/01/22;00:50:44.5676151110;644;1000;1002;240;./.git/info/exclude
18/01/22;00:49:54.5396163850;18/01/22;00:50:44.6676151080;18/01/22;00:50:44.6676151080;755;1000;1002;36;./.git/logs
18/01/22;00:49:54.0000000000;17/01/22;16:42:14.0000000000;18/01/22;00:49:54.5396163850;644;1000;1002;399;./.git/logs/index.html
18/01/22;00:50:44.0000000000;17/01/22;16:42:18.0000000000;18/01/22;00:50:44.6236151090;644;1000;1002;180;./.git/logs/HEAD
18/01/22;00:50:44.6676151080;18/01/22;00:53:40.3956106320;18/01/22;00:53:40.3956106320;755;1000;1002;30;./.git/logs/refs
18/01/22;00:50:44.0000000000;17/01/22;16:42:18.0000000000;18/01/22;00:50:44.6756151080;644;1000;1002;378;./.git/logs/refs/index.html
18/01/22;00:53:40.3956106320;18/01/22;00:56:43.7236059620;18/01/22;00:56:43.7236059620;755;1000;1002;32;./.git/logs/refs/heads
